"","SSL SCORE","PREDICTOR RAT AGE AT LATEST ARREST","PREDICTOR RAT VICTIM SHOOTING INCIDENTS","PREDICTOR RAT VICTIM BATTERY OR ASSAULT","PREDICTOR RAT ARRESTS VIOLENT OFFENSES","PREDICTOR RAT GANG AFFILIATION","PREDICTOR RAT NARCOTIC ARRESTS","PREDICTOR RAT TREND IN CRIMINAL ACTIVITY","PREDICTOR RAT UUW ARRESTS","SEX CODE CD","RACE CODE CD","WEAPON I","DRUG I","AGE GROUP","AGE TO","STOP ORDER NO","PAROLEE I","LATEST DATE","LATEST DIST","MAJORITY DIST","DLST","LATEST DIST RES","WEAPONS ARR CNT","LATEST WEAPON ARR DATE","NARCOTICS ARR CNT","LATEST NARCOTIC ARR DATE","IDOC RES CITY","IDOC RES STATE CODE","IDOC RES ZIP CODE","IDOC CPD DIST","CPD ARREST I","DOMESTIC ARR CNT","LATEST DOMESTIC ARR DATE","AGE CURR","SSL LAST PTV DATE","TRAP STATUS","RAW SSL SCORE","HEAT SCORE","RAW_HEAT_SCORE","STATUS I","PRE RAW HEAT SCORE","TRAP FLAGS","SSL FLAGS","LATITUDE","LONGITUDE","CENSUS TRACT","COMMUNITY AREA","LOCATION","District"
"82",490,"less than 20",2,2,2,1,0,-0.9,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,4,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.12485,490,0.12485,"Y",12485,NA,NA,41.7461469055901,-87.5357288440352,17031460100,"SOUTH CHICAGO","(41.7461469055901, -87.5357288440352)",4
"83",500,"20-30",0,5,1,0,1,0.7,1,"F","BLK","N","Y","20-30","20-30",NA,NA,2016,5,7,NA,5,NA,NA,2,2012,NA,NA,NA,NA,"Y",1,2016,"20-30",NA,NA,0.13246,500,0.13246,"Y",13246,NA,NA,41.6997627799393,-87.6280535899646,17031491000,"ROSELAND","(41.6997627799393, -87.6280535899646)",5
"84",500,"less than 20",1,1,8,1,0,-0.7,3,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2016,5,5,NA,5,2,2014,1,2011,NA,NA,NA,NA,"Y",1,2014,"less than 20",2016,NA,0.13552,500,0.13552,"Y",13552,NA,NA,41.6888969010118,-87.6278035866205,17031491300,"ROSELAND","(41.6888969010118, -87.6278035866205)",5
"85",500,"less than 20",1,1,5,0,0,0.1,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2015,22,22,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.12878,500,0.12878,"Y",12878,NA,NA,41.6887764854826,-87.6374382820859,17031491200,"ROSELAND","(41.6887764854826, -87.6374382820859)",5
"86",500,"less than 20",1,2,6,1,0,-0.4,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2014,5,22,NA,5,1,2014,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2013,3,0.12782,500,0.12782,"Y",12782,NA,NA,41.6893150550532,-87.6053697083891,17031500300,"PULLMAN","(41.6893150550532, -87.6053697083891)",5
"87",500,"less than 20",1,1,4,1,1,-0.3,2,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2016,5,5,NA,5,1,2015,1,2014,NA,NA,NA,NA,"Y",2,2014,"less than 20",2013,NA,0.13404,500,0.13404,"Y",13404,NA,5,41.6815611733484,-87.6323953969569,17031530200,"WEST PULLMAN","(41.6815611733484, -87.6323953969569)",5
"88",500,"less than 20",1,2,6,0,0,0,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12925,500,0.12925,"Y",12925,NA,NA,41.6502197525479,-87.5997923374918,17031540101,"RIVERDALE","(41.6502197525479, -87.5997923374918)",5
"89",500,"less than 20",1,1,1,0,4,-0.7,0,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2015,3,22,NA,5,NA,NA,1,2015,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12897,500,0.12897,"Y",12897,NA,NA,41.7692587141705,-87.6202084156442,17031690400,"GREATER GRAND CROSSING","(41.7692587141705, -87.6202084156442)",5
"90",500,"less than 20",2,2,4,1,1,-2.9,3,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,8,3,NA,5,1,2013,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.15129,500,0.15129,"Y",15129,NA,3,41.7529891708503,-87.7237837364116,17031700200,"ASHBURN","(41.7529891708503, -87.7237837364116)",5
"91",500,"less than 20",1,0,6,1,2,-0.5,3,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2016,6,6,NA,5,3,2015,1,2016,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2013,NA,0.14064,500,0.14064,"Y",14064,NA,6,41.7396436572455,-87.6485810672001,17031711000,"AUBURN GRESHAM","(41.7396436572455, -87.6485810672001)",5
"92",500,"less than 20",2,2,0,1,1,-0.1,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2014,22,22,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2014,NA,0.1287,500,0.1287,"Y",12870,NA,NA,41.7030816717453,-87.6500792685296,17031730700,"WASHINGTON HEIGHTS","(41.7030816717453, -87.6500792685296)",5
"93",500,"less than 20",1,1,6,1,1,-1.4,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,22,3,"IL",5,1,2016,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2012,NA,0.13444,500,0.13444,"Y",13444,NA,6,41.7142655756174,-87.638137747633,17031730500,"WASHINGTON HEIGHTS","(41.7142655756174, -87.638137747633)",5
"94",499,"less than 20",0,3,3,0,1,0.2,1,"F","BLK","N","N","less than 20","less than 20",NA,NA,2016,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",1,2014,"less than 20",NA,NA,0.12656,499,0.12656,"Y",12656,NA,5,41.6997627799393,-87.6280535899646,17031491000,"ROSELAND","(41.6997627799393, -87.6280535899646)",5
"95",497,"less than 20",0,0,7,0,3,0.7,1,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,31,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.1262,497,0.1262,"Y",12620,NA,NA,NA,NA,NA,NA,NA,5
"96",497,"less than 20",0,1,0,0,0,0.4,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2015,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.12617,497,0.12617,"Y",12617,NA,NA,41.6635648884008,-87.6375137731216,17031530503,"WEST PULLMAN","(41.6635648884008, -87.6375137731216)",5
"97",493,"less than 20",2,2,2,1,4,0.5,1,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2016,5,5,NA,5,1,2015,4,2016,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.12551,493,0.12551,"Y",12551,NA,NA,41.6502197525479,-87.5997923374918,17031540101,"RIVERDALE","(41.6502197525479, -87.5997923374918)",5
"98",493,"less than 20",1,1,3,1,2,-2.7,1,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2016,7,5,NA,5,1,2014,1,2015,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12552,493,0.12552,"Y",12552,NA,5,41.7830686192513,-87.6667314610418,17031670700,"WEST ENGLEWOOD","(41.7830686192513, -87.6667314610418)",5
"99",490,"20-30",3,3,2,1,0,0.1,0,"M","BLK","N","Y","20-30","20-30",NA,NA,2015,5,5,NA,5,NA,NA,1,2010,NA,NA,NA,NA,"Y",NA,NA,"20-30",2015,3,0.12482,490,0.12482,"Y",12482,NA,5,41.6997627799393,-87.6280535899646,17031491000,"ROSELAND","(41.6997627799393, -87.6280535899646)",5
"100",482,"less than 20",0,0,1,0,1,-0.1,1,"M","BLK","N","N","less than 20","less than 20",NA,NA,2014,22,22,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.12343,482,0.12343,"Y",12343,NA,NA,41.7030816717453,-87.6500792685296,17031730700,"WASHINGTON HEIGHTS","(41.7030816717453, -87.6500792685296)",5
"101",480,"less than 20",0,0,2,0,0,0.4,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.12313,480,0.12313,"Y",12313,NA,NA,41.6635648884008,-87.6375137731216,17031530503,"WEST PULLMAN","(41.6635648884008, -87.6375137731216)",5
"102",477,"less than 20",2,2,1,1,0,0.1,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2015,22,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12256,477,0.12256,"Y",12256,NA,5,41.7178406993306,-87.6526479614649,17031730400,"WASHINGTON HEIGHTS","(41.7178406993306, -87.6526479614649)",5
"103",500,"20-30",0,0,4,1,0,2.2,3,"M","BLK","Y","N","20-30","20-30",NA,NA,2016,3,6,"IL",6,4,2016,NA,NA,"CHICAGO","IL",60620,NA,"Y",1,2010,"20-30",NA,NA,0.12957,500,0.12957,"Y",12957,6,6,41.7766914505893,-87.610693252608,17031420700,"WOODLAWN","(41.7766914505893, -87.610693252608)",6
"104",500,"less than 20",1,0,7,1,1,-1.2,0,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,4,4,NA,6,1,2016,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.13364,500,0.13364,"Y",13364,NA,NA,41.7553011286025,-87.5711843394727,17031431200,"SOUTH SHORE","(41.7553011286025, -87.5711843394727)",6
"105",500,"less than 20",2,2,4,1,0,0.8,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,6,3,NA,6,1,2015,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.14572,500,0.14572,"Y",14572,NA,NA,41.7437210533708,-87.61954268966,17031440300,"CHATHAM","(41.7437210533708, -87.61954268966)",6
"106",500,"less than 20",2,2,3,1,1,0.1,1,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2016,6,6,NA,6,NA,NA,1,2015,NA,NA,NA,NA,"Y",1,2016,"less than 20",2016,NA,0.12888,500,0.12888,"Y",12888,NA,6,41.7326717958361,-87.6191372799693,17031440600,"CHATHAM","(41.7326717958361, -87.6191372799693)",6
"107",500,"less than 20",0,0,4,1,2,-0.9,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2015,8,8,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.13017,500,0.13017,"Y",13017,NA,8,41.7772871627802,-87.6933405804616,17031660600,"CHICAGO LAWN","(41.7772871627802, -87.6933405804616)",6
"108",500,"less than 20",4,4,1,1,0,-1,0,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2013,7,6,NA,6,NA,NA,1,2011,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12853,500,0.12853,"Y",12853,NA,NA,41.7681721497725,-87.6696320004753,17031671500,"WEST ENGLEWOOD","(41.7681721497725, -87.6696320004753)",6
